"Time (ps)"	"Count rate (counts/s), channel 1"	"Count rate (counts/s), channel 2"	"Frequency (Hz), channel 1"	"Frequency (Hz), channel 2"
252940000000000	91150	84300	91026.555753258697	84222.156508784348
252960000000000	90950	84300	91120.41634921165	84341.231651987648
252980000000000	90750	84750	90764.582728410751	84389.422597135766
253000000000000	90950	84350	90790.438477012838	84473.798077772808
253020000000000	91100	84050	91109.065075407518	84130.154716275982
253040000000000	91100	84550	90999.246912547227	84369.445981129524
253060000000000	90850	84450	91084.402640290922	84402.082879315683
253080000000000	90850	84700	90815.304267124811	84628.452937734779
253100000000000	90700	84350	90757.925961984889	84501.969039698888
253120000000000	91150	84450	90948.354721592332	84466.08546011991
253140000000000	91100	84200	91164.071017986367	84223.818575450641
253160000000000	91000	84650	91024.664032049652	84681.284299362305
253180000000000	91150	84450	91148.583841993313	84540.076608608608
253200000000000	90850	84000	90916.182800057213	84352.581652729321
253220000000000	91100	84750	90922.654006125827	84198.540669274589
253240000000000	90700	84500	90952.045643070422	84672.316017852791
253260000000000	91050	84850	90829.854094403097	84727.585567180387
253280000000000	90950	84750	91013.365053465968	84465.215471386065
253300000000000	91050	84600	90939.559924048648	84846.458407446946
253320000000000	91150	84500	91153.15834061167	84607.052485785141
253340000000000	91300	84500	91229.995177248376	84429.141017340939
253360000000000	90950	84200	91090.7065209172	84331.731709692351
253380000000000	91150	84200	91082.727573550001	84237.943430893647
253400000000000	90950	84500	91186.719083208955	84435.44786172999
253420000000000	90750	84350	90709.870230845234	84396.040892420293
253440000000000	90950	84100	90930.481569258292	84348.292365570378
253460000000000	90950	84300	91030.376995505285	84168.324276007435
253480000000000	90850	84750	90884.239964033914	84462.918937946408
253500000000000	90900	84450	90722.157507558746	84673.498823557224
253520000000000	90950	84400	91084.421321466056	84325.518241328507
253540000000000	91100	84150	90918.732237286516	84356.018373284664
253560000000000	91150	84250	91041.075538045305	84008.271037868763
253580000000000	90850	84300	91066.814189091267	84315.242337600823
253600000000000	90900	83750	90919.285601536656	83997.960050859983
253620000000000	90950	84200	90955.360858782777	84167.257127174162
253640000000000	91050	84400	90902.062006357475	84223.897607961801
253660000000000	90950	84150	91061.106897132384	84314.422407064616
253680000000000	90900	84750	90921.255293079521	84467.229900150705
253700000000000	91100	84350	91125.905794931197	84495.974712471434
253720000000000	91150	84400	90995.953023042239	84629.492019223486
253740000000000	90800	83900	91072.686800538038	83974.464345323082
253760000000000	90800	84200	90678.848444879579	84005.270382863746
253780000000000	91200	84550	91069.974388461007	84350.636221548979
253800000000000	90950	84650	91059.0787573204	84529.757472162106
253820000000000	91200	84200	91042.967651915416	84384.00245820664
253840000000000	90900	84250	90982.527318837441	84335.797816365637
253860000000000	91000	84200	90972.912492192729	84071.005668358368
253880000000000	90850	84500	90939.2566892412	84424.369123358818
253900000000000	90950	83800	90909.4650355208	84164.674472212428
253920000000000	91350	84350	91105.705745201732	84021.870671885932
253940000000000	91300	84600	91377.10035560283	84577.940335946361
253960000000000	91100	84900	91325.827253578944	84861.61837258919
253980000000000	90800	84350	90870.208506405645	84658.538255114589
254000000000000	91150	83950	90912.599370357784	84031.849173229537
254020000000000	91150	84350	91157.809278362023	84087.578967987036
254040000000000	91300	84500	91165.585037255019	84341.586243258906
254060000000000	90800	84450	91075.437313274306	84397.913193456538
254080000000000	91150	84550	90965.893981927191	84627.460642171063
254100000000000	90900	84150	90990.482790257738	84375.282781369577
254120000000000	91050	84300	91096.619483975592	84045.49566460817
254140000000000	90850	84000	90842.7602669068	84188.068607291818
254160000000000	90500	84350	90734.567495158743	84309.546488609107
254180000000000	90850	84550	90679.528590659262	84413.170434794825
254200000000000	90900	84350	90874.641222806516	84498.616406533736
254220000000000	90950	84700	90871.470645487876	84524.846781753848
254240000000000	91150	84500	91128.319061816597	84794.039131164522
254260000000000	91150	84350	91213.296033033344	84334.748879345192
254280000000000	90900	84250	90949.009714342552	84290.045308462068
254300000000000	90950	84050	90929.418971511637	84111.570134229303
254320000000000	91100	84800	91044.352371536312	84487.502756661313
254340000000000	90900	84950	90944.891670480938	84851.638668639935
