"Time differences (ps)"	"Normalized correlation g(2)"
-50000	1.1169521611866235
-49900	0.9674715745594173
-49800	0.9674715745594173
-49700	1.05882082194271
-49600	0.9965372441813741
-49500	1.0006894826987964
-49400	0.9799282901116846
-49300	0.8761223271761247
-49200	1.0380596293555981
-49100	1.0463641063904427
-49000	1.121104399704046
-48900	1.0048417212162188
-48800	0.9550148590071502
-48700	0.8968835197632368
-48600	0.9384059049374607
-48500	1.017298436768486
-48400	0.9799282901116846
-48300	0.8719700886587024
-48200	1.0422118678730203
-48100	0.9674715745594173
-48000	0.984080528629107
-47900	1.0339073908381757
-47800	1.0006894826987964
-47700	0.9342536664200383
-47600	1.1086476841517787
-47500	0.9508626204897278
-47400	0.8927312812458144
-47300	0.9716238130768398
-47200	1.0961909685995115
-47100	1.0671252989775548
-47000	1.0006894826987964
-46900	0.9716238130768398
-46800	1.0422118678730203
-46700	1.017298436768486
-46600	1.025602913803331
-46500	0.9674715745594173
-46400	0.9716238130768398
-46300	0.921796950867771
-46200	0.9508626204897278
-46100	0.8968835197632368
-46000	1.0006894826987964
-45900	1.079582014529822
-45800	1.0671252989775548
-45700	0.9799282901116846
-45600	1.025602913803331
-45500	1.017298436768486
-45400	0.9882327671465293
-45300	0.8761223271761247
-45200	1.092038730082089
-45100	1.0131461982510637
-45000	1.1086476841517787
-44900	1.017298436768486
-44800	0.9384059049374607
-44700	1.0297551523207533
-44600	0.9882327671465293
-44500	0.9342536664200383
-44400	0.9757760515942622
-44300	0.9093402353155039
-44200	1.0463641063904427
-44100	1.0006894826987964
-44000	0.9550148590071502
-43900	0.9882327671465293
-43800	1.0422118678730203
-43700	1.0131461982510637
-43600	1.0048417212162188
-43500	1.100343207116934
-43400	1.0671252989775548
-43300	1.1169521611866235
-43200	0.9550148590071502
-43100	0.984080528629107
-43000	1.0214506752859085
-42900	0.8719700886587024
-42800	1.025602913803331
-42700	0.9799282901116846
-42600	1.0339073908381757
-42500	1.0754297760123996
-42400	0.9757760515942622
-42300	0.8719700886587024
-42200	1.100343207116934
-42100	1.0048417212162188
-42000	1.0463641063904427
-41900	0.9757760515942622
-41800	0.9882327671465293
-41700	1.0422118678730203
-41600	0.921796950867771
-41500	0.9923850056639517
-41400	1.092038730082089
-41300	0.9757760515942622
-41200	1.0546685834252876
-41100	0.9633193360419949
-41000	1.0712775374949772
-40900	1.0463641063904427
-40800	0.9799282901116846
-40700	1.0339073908381757
-40600	1.0546685834252876
-40500	0.9674715745594173
-40400	1.0505163449078652
-40300	1.0380596293555981
-40200	0.8719700886587024
-40100	1.0131461982510637
-40000	0.9674715745594173
-39900	1.0339073908381757
-39800	1.0006894826987964
-39700	1.017298436768486
-39600	1.017298436768486
-39500	1.079582014529822
-39400	0.9633193360419949
-39300	0.8927312812458144
-39200	0.921796950867771
-39100	0.9965372441813741
-39000	1.0006894826987964
-38900	1.0131461982510637
-38800	0.9633193360419949
-38700	1.1086476841517787
-38600	0.9342536664200383
-38500	0.9923850056639517
-38400	0.9342536664200383
-38300	0.8885790427283919
-38200	1.0048417212162188
-38100	1.0629730604601324
-38000	1.017298436768486
-37900	0.9923850056639517
-37800	1.0048417212162188
-37700	1.0297551523207533
-37600	1.079582014529822
-37500	1.0339073908381757
-37400	0.9923850056639517
-37300	1.017298436768486
-37200	0.9674715745594173
-37100	1.0837342530472445
-37000	1.0754297760123996
-36900	0.9591670975245726
-36800	1.0048417212162188
-36700	0.9550148590071502
-36600	1.1999969315350714
-36500	0.921796950867771
-36400	0.9342536664200383
-36300	1.092038730082089
-36200	1.0297551523207533
-36100	1.0297551523207533
-36000	0.9259491893851934
-35900	0.9716238130768398
-35800	1.0048417212162188
-35700	0.984080528629107
-35600	0.9716238130768398
-35500	1.0546685834252876
-35400	0.9923850056639517
-35300	1.025602913803331
-35200	1.079582014529822
-35100	0.9633193360419949
-35000	1.0837342530472445
-34900	1.0837342530472445
-34800	1.0754297760123996
-34700	0.8761223271761247
-34600	1.0380596293555981
-34500	0.9882327671465293
-34400	1.0671252989775548
-34300	0.9176447123503487
-34200	0.9550148590071502
-34100	0.942558143454883
-34000	0.9384059049374607
-33900	1.0214506752859085
-33800	0.9799282901116846
-33700	0.9965372441813741
-33600	0.9467103819723054
-33500	0.8761223271761247
-33400	1.0048417212162188
-33300	1.0712775374949772
-33200	1.0339073908381757
-33100	0.9882327671465293
-33000	0.9301014279026159
-32900	0.9259491893851934
-32800	1.017298436768486
-32700	1.0131461982510637
-32600	1.0671252989775548
-32500	1.0505163449078652
-32400	1.0754297760123996
-32300	1.0712775374949772
-32200	0.9176447123503487
-32100	1.092038730082089
-32000	1.0546685834252876
-31900	1.0505163449078652
-31800	1.0380596293555981
-31700	1.1460178308085802
-31600	0.9923850056639517
-31500	1.0422118678730203
-31400	1.0546685834252876
-31300	1.0380596293555981
-31200	1.0754297760123996
-31100	0.9882327671465293
-31000	1.0422118678730203
-30900	1.0422118678730203
-30800	1.0754297760123996
-30700	0.9716238130768398
-30600	1.0712775374949772
-30500	0.9301014279026159
-30400	0.942558143454883
-30300	0.8968835197632368
-30200	1.0089939597336413
-30100	1.0629730604601324
-30000	1.0089939597336413
-29900	1.0671252989775548
-29800	0.9093402353155039
-29700	1.0131461982510637
-29600	1.0505163449078652
-29500	0.9550148590071502
-29400	0.9342536664200383
-29300	1.0089939597336413
-29200	1.0006894826987964
-29100	1.0214506752859085
-29000	0.8885790427283919
-28900	0.9674715745594173
-28800	1.121104399704046
-28700	1.05882082194271
-28600	1.0131461982510637
-28500	0.9508626204897278
-28400	0.9591670975245726
-28300	0.9716238130768398
-28200	1.0214506752859085
-28100	1.0505163449078652
-28000	1.0505163449078652
-27900	1.0006894826987964
-27800	0.8719700886587024
-27700	1.0006894826987964
-27600	0.8221432264496337
-27500	1.0546685834252876
-27400	0.8885790427283919
-27300	1.121104399704046
-27200	1.0048417212162188
-27100	1.017298436768486
-27000	1.0006894826987964
-26900	1.0671252989775548
-26800	1.079582014529822
-26700	0.942558143454883
-26600	0.9923850056639517
-26500	1.1501700693260026
-26400	0.9467103819723054
-26300	0.9301014279026159
-26200	0.9467103819723054
-26100	1.0546685834252876
-26000	1.2373670781918729
-25900	1.0671252989775548
-25800	0.9508626204897278
-25700	1.0878864915646667
-25600	1.0878864915646667
-25500	0.9716238130768398
-25400	1.0380596293555981
-25300	0.9508626204897278
-25200	0.9633193360419949
-25100	1.0089939597336413
-25000	1.0505163449078652
-24900	0.9757760515942622
-24800	0.9965372441813741
-24700	1.0629730604601324
-24600	1.0671252989775548
-24500	1.0214506752859085
-24400	1.1169521611866235
-24300	0.9508626204897278
-24200	1.0131461982510637
-24100	0.9051879967980815
-24000	0.8802745656935471
-23900	1.0048417212162188
-23800	1.0089939597336413
-23700	0.9550148590071502
-23600	0.9965372441813741
-23500	0.9633193360419949
-23400	0.9674715745594173
-23300	0.9508626204897278
-23200	1.0546685834252876
-23100	1.154322307843425
-23000	0.9301014279026159
-22900	0.9010357582806591
-22800	1.0131461982510637
-22700	1.0422118678730203
-22600	0.9882327671465293
-22500	0.9716238130768398
-22400	0.9799282901116846
-22300	1.0380596293555981
-22200	0.9384059049374607
-22100	0.9134924738329263
-22000	1.1127999226692011
-21900	0.9384059049374607
-21800	0.9923850056639517
-21700	1.0089939597336413
-21600	0.942558143454883
-21500	1.0629730604601324
-21400	0.942558143454883
-21300	0.9176447123503487
-21200	1.0214506752859085
-21100	0.9508626204897278
-21000	1.154322307843425
-20900	0.8387521805193232
-20800	1.0214506752859085
-20700	1.0339073908381757
-20600	1.0463641063904427
-20500	1.0214506752859085
-20400	1.0837342530472445
-20300	1.0463641063904427
-20200	0.9550148590071502
-20100	0.9757760515942622
-20000	1.0048417212162188
-19900	1.0878864915646667
-19800	1.0837342530472445
-19700	0.8927312812458144
-19600	0.9799282901116846
-19500	1.0629730604601324
-19400	0.984080528629107
-19300	0.9757760515942622
-19200	0.9757760515942622
-19100	1.0297551523207533
-19000	0.9965372441813741
-18900	1.0089939597336413
-18800	0.9757760515942622
-18700	0.9467103819723054
-18600	1.0214506752859085
-18500	1.0546685834252876
-18400	0.9965372441813741
-18300	1.0048417212162188
-18200	1.0422118678730203
-18100	0.9716238130768398
-18000	0.9467103819723054
-17900	0.9384059049374607
-17800	1.0006894826987964
-17700	1.0297551523207533
-17600	1.0629730604601324
-17500	0.9093402353155039
-17400	0.9799282901116846
-17300	0.9342536664200383
-17200	1.0297551523207533
-17100	1.0006894826987964
-17000	1.1044954456343563
-16900	1.0505163449078652
-16800	1.0422118678730203
-16700	0.9965372441813741
-16600	0.9716238130768398
-16500	1.0546685834252876
-16400	1.0422118678730203
-16300	0.921796950867771
-16200	0.9051879967980815
-16100	1.079582014529822
-16000	0.9508626204897278
-15900	0.9923850056639517
-15800	1.0006894826987964
-15700	0.9716238130768398
-15600	1.0380596293555981
-15500	1.0463641063904427
-15400	1.0339073908381757
-15300	0.9342536664200383
-15200	1.0961909685995115
-15100	0.9384059049374607
-15000	0.9342536664200383
-14900	1.0380596293555981
-14800	1.0712775374949772
-14700	1.0297551523207533
-14600	1.0131461982510637
-14500	1.1086476841517787
-14400	0.8719700886587024
-14300	1.017298436768486
-14200	1.0837342530472445
-14100	0.9508626204897278
-14000	1.0089939597336413
-13900	0.9923850056639517
-13800	0.9674715745594173
-13700	1.05882082194271
-13600	1.0712775374949772
-13500	0.8885790427283919
-13400	1.0339073908381757
-13300	1.1127999226692011
-13200	1.100343207116934
-13100	1.025602913803331
-13000	1.0546685834252876
-12900	1.0006894826987964
-12800	0.9093402353155039
-12700	0.8802745656935471
-12600	1.0878864915646667
-12500	0.9799282901116846
-12400	1.0006894826987964
-12300	1.0671252989775548
-12200	1.0214506752859085
-12100	1.0297551523207533
-12000	1.0214506752859085
-11900	1.0463641063904427
-11800	1.0297551523207533
-11700	1.0006894826987964
-11600	0.9051879967980815
-11500	0.9799282901116846
-11400	1.0214506752859085
-11300	1.0339073908381757
-11200	1.092038730082089
-11100	1.0463641063904427
-11000	1.0671252989775548
-10900	0.9923850056639517
-10800	0.8761223271761247
-10700	0.8885790427283919
-10600	1.025602913803331
-10500	0.9259491893851934
-10400	0.9882327671465293
-10300	0.9176447123503487
-10200	0.9301014279026159
-10100	0.9508626204897278
-10000	0.9674715745594173
-9900	1.0671252989775548
-9800	1.0131461982510637
-9700	0.921796950867771
-9600	1.0878864915646667
-9500	0.984080528629107
-9400	0.9965372441813741
-9300	1.0505163449078652
-9200	1.0297551523207533
-9100	1.025602913803331
-9000	0.9965372441813741
-8900	1.0297551523207533
-8800	0.9716238130768398
-8700	1.0048417212162188
-8600	1.100343207116934
-8500	0.9591670975245726
-8400	1.0505163449078652
-8300	0.9923850056639517
-8200	0.9467103819723054
-8100	0.9674715745594173
-8000	0.9674715745594173
-7900	0.9757760515942622
-7800	0.984080528629107
-7700	1.0048417212162188
-7600	1.0380596293555981
-7500	1.0089939597336413
-7400	1.0131461982510637
-7300	0.9757760515942622
-7200	0.9467103819723054
-7100	0.9965372441813741
-7000	0.9093402353155039
-6900	1.017298436768486
-6800	0.9259491893851934
-6700	0.9591670975245726
-6600	1.025602913803331
-6500	1.0463641063904427
-6400	1.0214506752859085
-6300	1.0629730604601324
-6200	1.0878864915646667
-6100	1.079582014529822
-6000	1.0089939597336413
-5900	0.7806208412754098
-5800	0.9550148590071502
-5700	1.1086476841517787
-5600	0.9799282901116846
-5500	0.8885790427283919
-5400	1.0380596293555981
-5300	0.984080528629107
-5200	0.9591670975245726
-5100	0.9301014279026159
-5000	1.092038730082089
-4900	0.9882327671465293
-4800	1.0422118678730203
-4700	0.9882327671465293
-4600	1.0380596293555981
-4500	0.9550148590071502
-4400	0.9384059049374607
-4300	0.942558143454883
-4200	1.1750835004305369
-4100	0.9342536664200383
-4000	1.0505163449078652
-3900	0.9176447123503487
-3800	0.8844268042109695
-3700	0.9051879967980815
-3600	0.9674715745594173
-3500	0.9799282901116846
-3400	1.0214506752859085
-3300	0.984080528629107
-3200	0.9882327671465293
-3100	1.0339073908381757
-3000	0.9550148590071502
-2900	1.0837342530472445
-2800	0.9633193360419949
-2700	1.1875402159828041
-2600	1.025602913803331
-2500	0.9467103819723054
-2400	0.9301014279026159
-2300	1.0297551523207533
-2200	0.9799282901116846
-2100	1.0878864915646667
-2000	0.942558143454883
-1900	1.0422118678730203
-1800	0.984080528629107
-1700	1.0089939597336413
-1600	1.0629730604601324
-1500	0.9757760515942622
-1400	0.984080528629107
-1300	0.9757760515942622
-1200	0.9923850056639517
-1100	0.8802745656935471
-1000	0.9591670975245726
-900	1.0712775374949772
-800	0.9882327671465293
-700	0.9674715745594173
-600	0.9716238130768398
-500	1.0339073908381757
-400	0.9591670975245726
-300	0.9674715745594173
-200	0.9633193360419949
-100	0.8927312812458144
0	1.0006894826987964
100	0.9882327671465293
200	0.9633193360419949
300	1.0712775374949772
400	0.9093402353155039
500	1.0380596293555981
600	0.9757760515942622
700	0.9301014279026159
800	0.9799282901116846
900	1.079582014529822
1000	1.0214506752859085
1100	1.0712775374949772
1200	0.984080528629107
1300	0.942558143454883
1400	1.017298436768486
1500	1.017298436768486
1600	1.0629730604601324
1700	1.0505163449078652
1800	1.0629730604601324
1900	1.025602913803331
2000	0.8968835197632368
2100	0.9757760515942622
2200	1.0214506752859085
2300	0.9467103819723054
2400	0.9051879967980815
2500	1.0837342530472445
2600	1.0089939597336413
2700	0.9674715745594173
2800	0.9633193360419949
2900	0.9716238130768398
3000	0.8595133731064352
3100	0.9882327671465293
3200	1.0089939597336413
3300	1.0629730604601324
3400	0.9384059049374607
3500	1.017298436768486
3600	1.0878864915646667
3700	0.9467103819723054
3800	1.0754297760123996
3900	0.8885790427283919
4000	0.9134924738329263
4100	0.9882327671465293
4200	1.017298436768486
4300	1.017298436768486
4400	1.0712775374949772
4500	1.0546685834252876
4600	0.9923850056639517
4700	0.921796950867771
