PumpPolarization,AnalyzerSetting,Channel,MeanTrueRate_cps,Fraction,Fraction_err_Poisson,Fraction_err_Empirical
TM,AA,HH,3275.92161920231,0.339185017317928,0.000765057864402806,0.000797086190679474
TM,AA,VV,1963.4923754432,0.203297658730458,0.000592300558773421,0.000571245463340065
TM,AA,HV,1805.75478998969,0.186965697263454,0.000568011227939919,0.000583679174066176
TM,AA,VH,2613.04561736386,0.27055162668816,0.000683283649556932,0.000722698464614491
TM,DD,HH,1904.48503075423,0.198025077206301,0.000585808655688225,0.000639256521081879
TM,DD,VV,3381.46590971825,0.351599008146178,0.000780583756024638,0.000702684072923668
TM,DD,HV,2253.42224826055,0.234306968804827,0.000637218376190854,0.000676859030301192
TM,DD,VH,2078.02001026143,0.216068945842694,0.000611916079276719,0.000580433543023881
TM,HH,HH,579.01975093388,0.0560402941581496,0.000300661688400487,0.000454478003155021
TM,HH,VV,8650.4151290852,0.837228449706891,0.00116211706245002,0.00139731174681704
TM,HH,HV,481.07145882212,0.0465603911092842,0.000274054033723621,0.000300979043392383
TM,HH,VH,621.697651734687,0.0601708650256754,0.000311545165504692,0.000409318946729546
TM,VV,HH,8247.36185672188,0.83334035153457,0.00118464782492453,0.00129806289776507
TM,VV,VV,535.52398050786,0.0541110903006983,0.000301870864165035,0.000428868979871423
TM,VV,HV,557.74102111516,0.0563559725735254,0.000308069022227262,0.00042671117778847
TM,VV,VH,556.12402085424,0.0561925855912059,0.000307622121917196,0.000365194170988941
TE,AA,HH,1841.2100770038,0.180995105300678,0.000544552220797192,0.000648306069907347
TE,AA,VV,3422.68103837458,0.336457269427579,0.000742456607126981,0.000813615674357081
TE,AA,HV,2503.18550141731,0.246068783282691,0.000634942473199118,0.000652958980230124
TE,AA,VH,2405.62984366408,0.236478841989053,0.000622446835577864,0.000774870503451472
TE,DD,HH,3377.58484997379,0.331944948391058,0.000521401536744424,0.000614764054926314
TE,DD,VV,1908.43139676237,0.187558326332224,0.000391929044982206,0.00045125687824972
TE,DD,HV,2026.71090011182,0.199182692670603,0.000403891835781354,0.000447091082018995
TE,DD,VH,2862.40841808527,0.281314032606114,0.000479993076505286,0.000574666091992924
TE,HH,HH,9236.10911728698,0.941039311553911,0.00126411799467606,0.00118787831613816
TE,HH,VV,121.949005347433,0.0124250164847059,0.000145255376769342,0.000191643436999465
TE,HH,HV,251.08200123714,0.0255819881063922,0.000208425511864042,0.000244439149861023
TE,HH,VH,205.656137971813,0.020953683854991,0.000188631372155568,0.000228586516113906
TE,VV,HH,124.316854383777,0.0122701006930806,0.00010045984353786,0.00013946166932181
TE,VV,VV,9511.20938338491,0.938758444505297,0.000878709582322153,0.000922950005139457
TE,VV,HV,196.567071313257,0.0194012128919533,0.000126323129049386,0.000147319902091171
TE,VV,VH,299.596519175303,0.0295702419096694,0.000155953768205468,0.000169579905025637
