Wavelength [m],Power [dBm]
1.47e-06,-62.5240356
1.47004e-06,-63.0568914
1.47008e-06,-62.5458168
1.47012e-06,-62.8214517
1.47016e-06,-62.9070459
1.4702e-06,-62.8182097
1.47024e-06,-63.150818
1.47028e-06,-62.6964525
1.47032e-06,-62.5673923
1.47036e-06,-62.7937663
1.4704e-06,-62.7587512
1.47044e-06,-62.7868819
1.47048e-06,-62.8184226
1.47052e-06,-62.4411873
1.47056e-06,-62.8211239
1.4706e-06,-62.7569547
1.47064e-06,-62.7287033
1.47068e-06,-62.6168743
1.47072e-06,-62.1585251
1.47076e-06,-62.7634121
1.4708e-06,-62.7214396
1.47084e-06,-62.5411048
1.47088e-06,-62.5498699
1.47092e-06,-62.234034
1.47096e-06,-62.7393342
1.471e-06,-62.4305742
1.47104e-06,-62.6993087
1.47108e-06,-62.8285551
1.47112e-06,-62.6129336
1.47116e-06,-62.8524425
1.4712e-06,-62.8699308
1.47124e-06,-62.5990472
1.47128e-06,-62.6569573
1.47132e-06,-62.1789838
1.47136e-06,-62.9238385
1.4714e-06,-62.9597198
1.47144e-06,-62.7274455
1.47148e-06,-62.8520166
1.47152e-06,-62.3104746
1.47156e-06,-62.4828922
1.4716e-06,-62.9091321
1.47164e-06,-62.7933402
1.47168e-06,-62.7894002
1.47172e-06,-62.1533823
1.47176e-06,-62.2713041
1.4718e-06,-62.5418393
1.47184e-06,-62.4729128
1.47188e-06,-62.6527141
1.47192e-06,-62.2215551
1.47196e-06,-62.5444673
1.472e-06,-63.0304954
1.47204e-06,-62.9196872
1.47208e-06,-62.6832913
1.47212e-06,-62.3454791
1.47216e-06,-62.8842242
1.4722e-06,-63.1922168
1.47224e-06,-62.976657
1.47228e-06,-63.1217765
1.47232e-06,-62.5697382
1.47236e-06,-62.9880784
1.4724e-06,-62.8193316
1.47244e-06,-62.716957
1.47248e-06,-62.8232442
1.47252e-06,-62.5207219
1.47256e-06,-62.9172376
1.4726e-06,-62.7947608
1.47264e-06,-62.6381843
1.47268e-06,-62.5419098
1.47272e-06,-62.3480913
1.47276e-06,-62.90679
1.4728e-06,-62.948194
1.47284e-06,-63.1947069
1.47288e-06,-62.8047148
1.47292e-06,-62.3816474
1.47296e-06,-62.7881616
1.473e-06,-62.5250918
1.47304e-06,-62.4718965
1.47308e-06,-62.1883353
1.47312e-06,-61.8341614
1.47316e-06,-62.1356394
1.4732e-06,-62.2075197
1.47324e-06,-62.493557
1.47328e-06,-62.302763
1.47332e-06,-62.0665797
1.47336e-06,-62.6150432
1.4734e-06,-62.8823369
1.47344e-06,-62.7457347
1.47348e-06,-62.5454461
1.47352e-06,-62.3548922
1.47356e-06,-62.4936215
1.4736e-06,-62.6130419
1.47364e-06,-63.0018027
1.47368e-06,-62.9598014
1.47372e-06,-62.6569373
1.47376e-06,-62.8229587
1.4738e-06,-63.2081679
1.47384e-06,-62.9316303
1.47388e-06,-62.8381027
1.47392e-06,-62.4798212
1.47396e-06,-62.8238084
1.474e-06,-63.0282457
1.47404e-06,-62.6245415
1.47408e-06,-62.597722
1.47412e-06,-62.1732482
1.47416e-06,-62.5979687
1.4742e-06,-62.6792308
1.47424e-06,-62.6546482
1.47428e-06,-62.6237491
1.47432e-06,-62.3032737
1.47436e-06,-62.6571215
1.4744e-06,-62.5417645
1.47444e-06,-62.7039158
1.47448e-06,-62.6572159
1.47452e-06,-62.4167586
1.47456e-06,-62.6988193
1.4746e-06,-62.9572199
1.47464e-06,-62.9337374
1.47468e-06,-62.876015
1.47472e-06,-62.5030325
1.47476e-06,-62.7213162
1.4748e-06,-62.8524831
1.47484e-06,-62.9098563
1.47488e-06,-62.7676737
1.47492e-06,-62.2102866
1.47496e-06,-62.7808226
1.475e-06,-62.5144848
1.47504e-06,-63.0096948
1.47508e-06,-62.9857441
1.47512e-06,-62.8499314
1.47516e-06,-62.9732489
1.4752e-06,-62.5959413
1.47524e-06,-62.9172112
1.47528e-06,-62.6321271
1.47532e-06,-62.7177293
1.47536e-06,-62.8071336
1.4754e-06,-62.8303575
1.47544e-06,-63.2285945
1.47548e-06,-62.7418005
1.47552e-06,-62.7286132
1.47556e-06,-62.7726835
1.4756e-06,-62.5647014
1.47564e-06,-63.1628813
1.47568e-06,-62.6284401
1.47572e-06,-62.8547741
1.47576e-06,-62.7439815
1.4758e-06,-62.6763335
1.47584e-06,-63.12462
1.47588e-06,-62.8410983
1.47592e-06,-62.7410901
1.47596e-06,-62.3127329
1.476e-06,-62.7579919
1.47604e-06,-63.2029478
1.47608e-06,-62.4239287
1.47612e-06,-62.5344474
1.47616e-06,-62.0417798
1.4762e-06,-62.3415774
1.47624e-06,-62.5630337
1.47628e-06,-62.6962489
1.47632e-06,-62.7386906
1.47636e-06,-62.415872
1.4764e-06,-62.5653631
1.47644e-06,-62.5221265
1.47648e-06,-62.6798566
1.47652e-06,-62.8928009
1.47656e-06,-62.4769624
1.4766e-06,-62.7180085
1.47664e-06,-62.4384221
1.47668e-06,-62.3317283
1.47672e-06,-62.0638522
1.47676e-06,-61.9413175
1.4768e-06,-62.2038415
1.47684e-06,-62.258295
1.47688e-06,-62.3046612
1.47692e-06,-62.1466632
1.47696e-06,-62.3107586
1.477e-06,-62.8304624
1.47704e-06,-62.921301
1.47708e-06,-62.9424218
1.47712e-06,-62.8595421
1.47716e-06,-62.6560448
1.4772e-06,-62.6055094
1.47724e-06,-62.5752307
1.47728e-06,-62.9298385
1.47732e-06,-62.5233327
1.47736e-06,-62.2723764
1.4774e-06,-62.4047433
1.47744e-06,-62.6785007
1.47748e-06,-62.8457516
1.47752e-06,-62.8196187
1.47756e-06,-62.8770921
1.4776e-06,-62.6170546
1.47764e-06,-62.850002
1.47768e-06,-63.194416
1.47772e-06,-62.8274276
1.47776e-06,-62.8360851
1.4778e-06,-62.9727446
1.47784e-06,-62.6645604
1.47788e-06,-62.9386849
1.47792e-06,-62.3922235
1.47796e-06,-62.5423716
1.478e-06,-62.3458744
1.47804e-06,-62.6555841
1.47808e-06,-62.914145
1.47812e-06,-62.4724047
1.47816e-06,-62.6560591
1.4782e-06,-62.4445312
1.47824e-06,-62.901853
1.47828e-06,-63.0337012
1.47832e-06,-62.9227024
1.47836e-06,-63.2911515
1.4784e-06,-62.8800797
1.47844e-06,-63.2176073
1.47848e-06,-63.0173328
1.47852e-06,-63.0610787
1.47856e-06,-63.1084182
1.4786e-06,-62.747094
1.47864e-06,-62.9617507
1.47868e-06,-63.061453
1.47872e-06,-62.7794428
1.47876e-06,-62.9273766
1.4788e-06,-62.3524566
1.47884e-06,-62.900707
1.47888e-06,-62.809113
1.47892e-06,-62.7992545
1.47896e-06,-62.7149017
1.479e-06,-62.6026587
1.47904e-06,-62.7652926
1.47908e-06,-62.4736921
1.47912e-06,-62.6344561
1.47916e-06,-62.5445325
1.4792e-06,-62.4790125
1.47924e-06,-62.9687717
1.47928e-06,-63.0416424
1.47932e-06,-63.1668764
1.47936e-06,-63.0914472
1.4794e-06,-62.716126
1.47944e-06,-62.6538556
1.47948e-06,-62.7301518
1.47952e-06,-63.2265466
1.47956e-06,-62.9571147
1.4796e-06,-62.6445634
1.47964e-06,-62.5928848
1.47968e-06,-62.5439904
1.47972e-06,-62.8986665
1.47976e-06,-62.6994303
1.4798e-06,-62.8112394
1.47984e-06,-62.8300745
1.47988e-06,-63.2808481
1.47992e-06,-63.1088864
1.47996e-06,-63.2083539
1.48e-06,-63.216467
