Wavelength [m],Power [dBm]
1.47e-06,-59.7526076
1.47004e-06,-59.7228362
1.47008e-06,-59.8172871
1.47012e-06,-59.8704464
1.47016e-06,-59.7044574
1.4702e-06,-59.8994095
1.47024e-06,-59.7931671
1.47028e-06,-59.7059543
1.47032e-06,-59.6034921
1.47036e-06,-59.526793
1.4704e-06,-59.6041137
1.47044e-06,-59.5080661
1.47048e-06,-59.687583
1.47052e-06,-59.4697532
1.47056e-06,-59.9596178
1.4706e-06,-59.8011777
1.47064e-06,-59.9419477
1.47068e-06,-59.8476268
1.47072e-06,-59.9130151
1.47076e-06,-59.8164074
1.4708e-06,-60.0665847
1.47084e-06,-60.2194095
1.47088e-06,-60.0928153
1.47092e-06,-59.9558275
1.47096e-06,-60.0068424
1.471e-06,-59.9973314
1.47104e-06,-59.8583381
1.47108e-06,-59.7814393
1.47112e-06,-59.6797636
1.47116e-06,-59.7009748
1.4712e-06,-59.6970231
1.47124e-06,-59.5648271
1.47128e-06,-59.4944172
1.47132e-06,-59.4071484
1.47136e-06,-59.7376646
1.4714e-06,-59.7591281
1.47144e-06,-59.8663523
1.47148e-06,-59.6741466
1.47152e-06,-59.7043659
1.47156e-06,-59.9022515
1.4716e-06,-59.9832622
1.47164e-06,-60.096208
1.47168e-06,-60.0978362
1.47172e-06,-59.8550764
1.47176e-06,-59.9853931
1.4718e-06,-60.2362683
1.47184e-06,-60.0974674
1.47188e-06,-60.1446415
1.47192e-06,-60.1317972
1.47196e-06,-60.54335
1.472e-06,-60.5611577
1.47204e-06,-60.1700853
1.47208e-06,-60.270336
1.47212e-06,-60.1964771
1.47216e-06,-60.3779967
1.4722e-06,-60.1172051
1.47224e-06,-60.2864648
1.47228e-06,-60.3246453
1.47232e-06,-60.1691156
1.47236e-06,-60.3759665
1.4724e-06,-60.2456368
1.47244e-06,-60.375343
1.47248e-06,-60.5261702
1.47252e-06,-60.396258
1.47256e-06,-60.4246456
1.4726e-06,-60.297836
1.47264e-06,-60.261299
1.47268e-06,-60.1680678
1.47272e-06,-60.170206
1.47276e-06,-60.5036552
1.4728e-06,-60.1149852
1.47284e-06,-60.04184
1.47288e-06,-59.957693
1.47292e-06,-59.964061
1.47296e-06,-60.0341228
1.473e-06,-60.0228829
1.47304e-06,-60.0273972
1.47308e-06,-60.2297678
1.47312e-06,-59.7904548
1.47316e-06,-60.514239
1.4732e-06,-60.2291402
1.47324e-06,-60.3696628
1.47328e-06,-60.2254838
1.47332e-06,-60.2947118
1.47336e-06,-60.4654949
1.4734e-06,-60.4825013
1.47344e-06,-60.4398584
1.47348e-06,-60.4875538
1.47352e-06,-60.2442414
1.47356e-06,-60.3131066
1.4736e-06,-60.368528
1.47364e-06,-60.4368973
1.47368e-06,-60.5857058
1.47372e-06,-60.417037
1.47376e-06,-60.589489
1.4738e-06,-60.2241737
1.47384e-06,-60.2313509
1.47388e-06,-60.2398629
1.47392e-06,-60.1058621
1.47396e-06,-60.3000733
1.474e-06,-60.2227541
1.47404e-06,-60.0185426
1.47408e-06,-60.2814553
1.47412e-06,-60.348059
1.47416e-06,-60.5413112
1.4742e-06,-60.5164721
1.47424e-06,-60.5417745
1.47428e-06,-60.6110864
1.47432e-06,-60.5677265
1.47436e-06,-60.7769138
1.4744e-06,-60.6876192
1.47444e-06,-60.7196
1.47448e-06,-60.7069083
1.47452e-06,-60.8292667
1.47456e-06,-61.1242096
1.4746e-06,-60.9832875
1.47464e-06,-60.8042876
1.47468e-06,-60.7921323
1.47472e-06,-60.5526505
1.47476e-06,-60.7580948
1.4748e-06,-60.5402955
1.47484e-06,-60.4030718
1.47488e-06,-60.5114356
1.47492e-06,-60.3070307
1.47496e-06,-60.6084866
1.475e-06,-60.2532565
1.47504e-06,-60.3953977
1.47508e-06,-60.6819056
1.47512e-06,-60.5416592
1.47516e-06,-60.7111029
1.4752e-06,-60.4920902
1.47524e-06,-60.537817
1.47528e-06,-60.8427805
1.47532e-06,-60.8009858
1.47536e-06,-60.8769803
1.4754e-06,-60.788237
1.47544e-06,-60.5591113
1.47548e-06,-60.9998181
1.47552e-06,-60.5304292
1.47556e-06,-60.9050324
1.4756e-06,-60.5209642
1.47564e-06,-60.6175395
1.47568e-06,-60.6388697
1.47572e-06,-60.7909115
1.47576e-06,-60.6985014
1.4758e-06,-60.6846647
1.47584e-06,-60.6400891
1.47588e-06,-60.7211633
1.47592e-06,-60.6340402
1.47596e-06,-60.4737945
1.476e-06,-60.7225951
1.47604e-06,-60.6986536
1.47608e-06,-60.8042448
1.47612e-06,-60.5677401
1.47616e-06,-60.6893208
1.4762e-06,-60.9693879
1.47624e-06,-60.9157681
1.47628e-06,-61.0335718
1.47632e-06,-61.0339058
1.47636e-06,-60.8335914
1.4764e-06,-61.0109653
1.47644e-06,-60.8463235
1.47648e-06,-60.6905625
1.47652e-06,-60.7776279
1.47656e-06,-60.5976392
1.4766e-06,-60.9798946
1.47664e-06,-60.8804582
1.47668e-06,-60.6809561
1.47672e-06,-60.5916041
1.47676e-06,-60.5531567
1.4768e-06,-60.7695325
1.47684e-06,-60.4339735
1.47688e-06,-60.651097
1.47692e-06,-60.9853464
1.47696e-06,-60.9169219
1.477e-06,-61.1593913
1.47704e-06,-61.1554766
1.47708e-06,-60.9710079
1.47712e-06,-61.0839658
1.47716e-06,-60.9318066
1.4772e-06,-61.0349089
1.47724e-06,-60.7777972
1.47728e-06,-60.9710992
1.47732e-06,-61.0171701
1.47736e-06,-60.7034905
1.4774e-06,-60.9191294
1.47744e-06,-60.8969018
1.47748e-06,-60.7695633
1.47752e-06,-61.137479
1.47756e-06,-60.8652688
1.4776e-06,-61.1036212
1.47764e-06,-61.166424
1.47768e-06,-61.2268462
1.47772e-06,-61.2561546
1.47776e-06,-61.2654714
1.4778e-06,-61.3054198
1.47784e-06,-61.3795758
1.47788e-06,-61.4353667
1.47792e-06,-61.4269752
1.47796e-06,-61.2654726
1.478e-06,-61.1924621
1.47804e-06,-61.2300493
1.47808e-06,-61.3541697
1.47812e-06,-61.395739
1.47816e-06,-61.2741816
1.4782e-06,-61.1890232
1.47824e-06,-61.2157008
1.47828e-06,-61.0354423
1.47832e-06,-61.2411749
1.47836e-06,-61.2001995
1.4784e-06,-61.1608242
1.47844e-06,-61.201772
1.47848e-06,-61.1516269
1.47852e-06,-61.4728916
1.47856e-06,-61.317327
1.4786e-06,-61.4528708
1.47864e-06,-61.8187964
1.47868e-06,-61.6008179
1.47872e-06,-61.7071056
1.47876e-06,-61.4307403
1.4788e-06,-61.4248896
1.47884e-06,-61.5249217
1.47888e-06,-61.373674
1.47892e-06,-61.696895
1.47896e-06,-61.6233072
1.479e-06,-61.6997367
1.47904e-06,-61.7619252
1.47908e-06,-61.4513158
1.47912e-06,-61.45252
1.47916e-06,-61.3675726
1.4792e-06,-61.3737197
1.47924e-06,-61.4226048
1.47928e-06,-61.4098014
1.47932e-06,-61.576224
1.47936e-06,-61.6893974
1.4794e-06,-61.5366301
1.47944e-06,-61.5725705
1.47948e-06,-61.4785127
1.47952e-06,-61.5333837
1.47956e-06,-61.7170819
1.4796e-06,-61.5969512
1.47964e-06,-61.7185964
1.47968e-06,-61.8426971
1.47972e-06,-61.7225082
1.47976e-06,-61.9980598
1.4798e-06,-61.7243169
1.47984e-06,-61.9369658
1.47988e-06,-61.8421719
1.47992e-06,-61.693558
1.47996e-06,-61.8377706
