Wavelength [m],Power [dBm]
1.47e-06,-55.7545963
1.47004e-06,-55.8476749
1.47008e-06,-55.8790622
1.47012e-06,-56.1260681
1.47016e-06,-56.3568866
1.4702e-06,-56.3605194
1.47024e-06,-56.2864816
1.47028e-06,-56.3574907
1.47032e-06,-56.1746056
1.47036e-06,-55.8804399
1.4704e-06,-55.9088216
1.47044e-06,-55.8989299
1.47048e-06,-55.8479798
1.47052e-06,-56.0183221
1.47056e-06,-55.9297251
1.4706e-06,-55.9439337
1.47064e-06,-56.0169821
1.47068e-06,-56.0687201
1.47072e-06,-56.1694739
1.47076e-06,-56.2766599
1.4708e-06,-56.0490708
1.47084e-06,-56.0310009
1.47088e-06,-56.3810714
1.47092e-06,-56.3765472
1.47096e-06,-55.9667107
1.471e-06,-56.2003502
1.47104e-06,-56.6235475
1.47108e-06,-56.187408
1.47112e-06,-56.0252856
1.47116e-06,-56.3797364
1.4712e-06,-56.3005656
1.47124e-06,-56.2929556
1.47128e-06,-56.2403054
1.47132e-06,-56.2092767
1.47136e-06,-56.3648685
1.4714e-06,-56.35854
1.47144e-06,-56.0021971
1.47148e-06,-56.0363356
1.47152e-06,-56.2654354
1.47156e-06,-56.0572139
1.4716e-06,-55.9057058
1.47164e-06,-56.3199077
1.47168e-06,-56.2715744
1.47172e-06,-56.0617634
1.47176e-06,-56.1780611
1.4718e-06,-56.5951616
1.47184e-06,-56.6001345
1.47188e-06,-56.524635
1.47192e-06,-56.4905372
1.47196e-06,-56.6706666
1.472e-06,-56.6431807
1.47204e-06,-56.3262935
1.47208e-06,-56.5026498
1.47212e-06,-56.7194722
1.47216e-06,-56.4144822
1.4722e-06,-56.3256365
1.47224e-06,-56.4816267
1.47228e-06,-56.5865914
1.47232e-06,-56.2940945
1.47236e-06,-56.5489209
1.4724e-06,-56.5151213
1.47244e-06,-56.2296895
1.47248e-06,-56.338774
1.47252e-06,-56.4673966
1.47256e-06,-56.3376399
1.4726e-06,-56.4865802
1.47264e-06,-56.7939295
1.47268e-06,-56.7873065
1.47272e-06,-56.742714
1.47276e-06,-56.8092033
1.4728e-06,-57.0197841
1.47284e-06,-56.8685394
1.47288e-06,-56.8611746
1.47292e-06,-57.1122965
1.47296e-06,-56.6751841
1.473e-06,-56.8488298
1.47304e-06,-56.6759541
1.47308e-06,-56.5049293
1.47312e-06,-56.6104255
1.47316e-06,-56.332809
1.4732e-06,-56.1625562
1.47324e-06,-56.3880567
1.47328e-06,-56.3063569
1.47332e-06,-56.4127704
1.47336e-06,-56.7209119
1.4734e-06,-56.5521907
1.47344e-06,-56.4373093
1.47348e-06,-56.7111605
1.47352e-06,-56.8163791
1.47356e-06,-56.7414574
1.4736e-06,-56.8817677
1.47364e-06,-56.7534724
1.47368e-06,-56.8380841
1.47372e-06,-56.6069703
1.47376e-06,-56.7420947
1.4738e-06,-56.8256996
1.47384e-06,-56.5595086
1.47388e-06,-56.7604089
1.47392e-06,-56.8562342
1.47396e-06,-56.726426
1.474e-06,-56.9862817
1.47404e-06,-57.0559691
1.47408e-06,-57.1248049
1.47412e-06,-57.2806695
1.47416e-06,-57.1848403
1.4742e-06,-57.2267062
1.47424e-06,-57.2321168
1.47428e-06,-57.3121072
1.47432e-06,-57.1446029
1.47436e-06,-56.9103574
1.4744e-06,-57.2548686
1.47444e-06,-57.1502268
1.47448e-06,-57.0564587
1.47452e-06,-57.1783983
1.47456e-06,-57.0808435
1.4746e-06,-56.9492983
1.47464e-06,-57.1218384
1.47468e-06,-57.1339302
1.47472e-06,-56.9824062
1.47476e-06,-57.1972182
1.4748e-06,-56.8599849
1.47484e-06,-56.7004087
1.47488e-06,-56.8184279
1.47492e-06,-56.7298367
