Wavelength [m],Power [dBm]
1.47e-06,-46.1354013
1.47004e-06,-46.2696925
1.47008e-06,-46.3752947
1.47012e-06,-46.298173
1.47016e-06,-46.3080067
1.4702e-06,-46.5474204
1.47024e-06,-46.4837367
1.47028e-06,-46.2418422
1.47032e-06,-46.256842
1.47036e-06,-46.2927278
1.4704e-06,-46.3453107
1.47044e-06,-46.424438
1.47048e-06,-46.2567301
1.47052e-06,-46.5731878
1.47056e-06,-46.5375851
1.4706e-06,-46.1972235
1.47064e-06,-46.2255569
1.47068e-06,-45.8517824
1.47072e-06,-45.6722797
1.47076e-06,-45.7188618
1.4708e-06,-45.5720888
1.47084e-06,-45.540041
1.47088e-06,-45.5439401
1.47092e-06,-45.4348661
1.47096e-06,-45.619111
1.471e-06,-45.7621401
1.47104e-06,-45.6617417
1.47108e-06,-45.697667
1.47112e-06,-45.7424746
1.47116e-06,-45.6768293
1.4712e-06,-45.5995433
1.47124e-06,-45.6253776
1.47128e-06,-45.687941
1.47132e-06,-45.7476171
1.47136e-06,-46.1707814
1.4714e-06,-46.2729457
1.47144e-06,-46.5113165
1.47148e-06,-46.6417581
1.47152e-06,-46.9498228
1.47156e-06,-46.8927639
1.4716e-06,-46.9993643
1.47164e-06,-46.9174715
1.47168e-06,-46.8617504
1.47172e-06,-46.8436677
1.47176e-06,-46.7515806
1.4718e-06,-46.788643
1.47184e-06,-46.695903
1.47188e-06,-47.0271047
1.47192e-06,-47.1903966
1.47196e-06,-47.1875077
1.472e-06,-47.4959278
1.47204e-06,-47.5574229
1.47208e-06,-47.502584
1.47212e-06,-47.7146561
1.47216e-06,-47.8873239
1.4722e-06,-48.0708547
1.47224e-06,-48.3173087
1.47228e-06,-48.4354719
1.47232e-06,-48.6201765
1.47236e-06,-48.7665575
1.4724e-06,-48.6548097
1.47244e-06,-48.6571121
1.47248e-06,-48.7246985
1.47252e-06,-48.769548
1.47256e-06,-48.714966
1.4726e-06,-48.800684
1.47264e-06,-49.0219525
1.47268e-06,-49.0396255
1.47272e-06,-49.0210759
1.47276e-06,-49.0702278
1.4728e-06,-49.4525404
1.47284e-06,-49.4508206
1.47288e-06,-49.2957522
1.47292e-06,-49.4666861
1.47296e-06,-49.4589641
1.473e-06,-49.5461282
1.47304e-06,-49.8362536
1.47308e-06,-49.8336875
1.47312e-06,-49.6801287
1.47316e-06,-49.6108456
1.4732e-06,-49.6307986
1.47324e-06,-49.5855934
1.47328e-06,-49.6479102
1.47332e-06,-49.7134021
1.47336e-06,-49.8591366
1.4734e-06,-49.8810956
1.47344e-06,-49.9778601
1.47348e-06,-50.1832008
1.47352e-06,-49.9864394
1.47356e-06,-50.0254859
