Wavelength [m],Power [dBm]
1.47e-06,-62.4938143
1.47004e-06,-62.7112997
1.47008e-06,-62.6719463
1.47012e-06,-62.3759592
1.47016e-06,-61.8628042
1.4702e-06,-62.1892872
1.47024e-06,-62.7595688
1.47028e-06,-62.6681471
1.47032e-06,-62.4965194
1.47036e-06,-62.567589
1.4704e-06,-62.5897421
1.47044e-06,-62.6645531
1.47048e-06,-62.7428705
1.47052e-06,-62.4433964
1.47056e-06,-62.5256242
1.4706e-06,-62.4089026
1.47064e-06,-62.5518985
1.47068e-06,-62.4445154
1.47072e-06,-62.347214
1.47076e-06,-62.511261
1.4708e-06,-62.6777446
1.47084e-06,-62.4260348
1.47088e-06,-62.5967012
1.47092e-06,-62.1666876
1.47096e-06,-62.4773906
1.471e-06,-62.0688051
1.47104e-06,-62.3340311
1.47108e-06,-62.5528812
1.47112e-06,-62.5748939
1.47116e-06,-62.7792516
1.4712e-06,-62.3078171
1.47124e-06,-62.1883262
1.47128e-06,-62.0819335
1.47132e-06,-62.1924622
1.47136e-06,-62.5890663
1.4714e-06,-62.4193038
1.47144e-06,-62.3182236
1.47148e-06,-62.2512864
1.47152e-06,-62.23387
1.47156e-06,-62.5699308
1.4716e-06,-62.4688363
1.47164e-06,-62.4406865
1.47168e-06,-62.5785403
1.47172e-06,-62.2605985
1.47176e-06,-62.1822582
1.4718e-06,-62.2861488
1.47184e-06,-62.2007874
1.47188e-06,-61.9953816
1.47192e-06,-62.0931782
1.47196e-06,-62.3913037
1.472e-06,-62.3374634
1.47204e-06,-62.1350726
1.47208e-06,-62.5501429
1.47212e-06,-62.2282521
1.47216e-06,-62.7570465
1.4722e-06,-62.6728115
1.47224e-06,-62.6227426
1.47228e-06,-62.7451349
1.47232e-06,-62.511964
1.47236e-06,-62.459359
1.4724e-06,-62.7186963
1.47244e-06,-62.7465932
1.47248e-06,-62.8247623
1.47252e-06,-62.5198905
1.47256e-06,-62.666486
1.4726e-06,-62.4182274
1.47264e-06,-62.4771537
1.47268e-06,-62.5351146
1.47272e-06,-62.3173555
1.47276e-06,-62.4349699
1.4728e-06,-62.3941807
1.47284e-06,-62.4339496
1.47288e-06,-62.4260753
1.47292e-06,-62.212932
1.47296e-06,-62.1883544
1.473e-06,-62.3512361
1.47304e-06,-62.5690257
1.47308e-06,-62.5079093
1.47312e-06,-62.1726747
1.47316e-06,-62.5373679
1.4732e-06,-62.3235188
1.47324e-06,-62.4959606
1.47328e-06,-62.6460749
1.47332e-06,-62.5864937
1.47336e-06,-62.4482542
1.4734e-06,-62.4250687
1.47344e-06,-62.4539472
1.47348e-06,-62.8159462
1.47352e-06,-62.5087014
1.47356e-06,-62.4448781
1.4736e-06,-62.4130548
1.47364e-06,-62.5452431
1.47368e-06,-62.7885356
1.47372e-06,-62.5967324
1.47376e-06,-62.4727039
1.4738e-06,-62.7634664
1.47384e-06,-62.6274673
1.47388e-06,-62.7593902
1.47392e-06,-62.4336252
1.47396e-06,-62.3805689
1.474e-06,-62.447409
1.47404e-06,-62.4526789
1.47408e-06,-62.656165
1.47412e-06,-62.3583741
1.47416e-06,-62.082706
1.4742e-06,-62.337575
1.47424e-06,-62.5370576
1.47428e-06,-62.7663662
1.47432e-06,-62.469617
1.47436e-06,-62.1657757
1.4744e-06,-62.2277928
1.47444e-06,-62.4706093
1.47448e-06,-62.648282
1.47452e-06,-62.6681409
1.47456e-06,-63.0216937
1.4746e-06,-62.6342226
1.47464e-06,-62.936328
1.47468e-06,-62.6468762
1.47472e-06,-62.4976127
1.47476e-06,-62.3830499
1.4748e-06,-62.5531872
1.47484e-06,-62.1709236
1.47488e-06,-62.4420574
1.47492e-06,-62.4801205
1.47496e-06,-62.6717998
1.475e-06,-62.768754
1.47504e-06,-62.5672243
1.47508e-06,-62.8084122
1.47512e-06,-62.7099857
1.47516e-06,-62.0471951
1.4752e-06,-62.500451
1.47524e-06,-62.4818812
1.47528e-06,-62.5755527
1.47532e-06,-62.5076389
1.47536e-06,-62.4320782
1.4754e-06,-62.6494768
1.47544e-06,-62.2398596
1.47548e-06,-62.1098353
1.47552e-06,-61.9472017
1.47556e-06,-62.3335783
1.4756e-06,-62.6909853
1.47564e-06,-62.5167474
1.47568e-06,-62.9102847
1.47572e-06,-62.6527377
1.47576e-06,-62.5899317
1.4758e-06,-63.1088154
1.47584e-06,-62.6228751
1.47588e-06,-62.7004156
1.47592e-06,-62.5460681
1.47596e-06,-62.6409089
1.476e-06,-62.6596698
1.47604e-06,-62.6996878
1.47608e-06,-62.6169536
1.47612e-06,-62.7719129
1.47616e-06,-62.8687286
1.4762e-06,-62.8015656
1.47624e-06,-62.6965761
1.47628e-06,-62.8947438
1.47632e-06,-62.7826548
1.47636e-06,-62.6767859
1.4764e-06,-62.5806612
1.47644e-06,-62.4651898
1.47648e-06,-62.7811144
1.47652e-06,-62.6648438
1.47656e-06,-62.6572045
1.4766e-06,-62.7726854
1.47664e-06,-62.6991254
1.47668e-06,-62.3668464
