Wavelength [m],Power [dBm]
1.47e-06,-64.6145279
1.47004e-06,-64.0143822
1.47008e-06,-64.3605959
1.47012e-06,-64.9872818
1.47016e-06,-64.5657053
1.4702e-06,-64.7806434
1.47024e-06,-64.4219472
1.47028e-06,-64.4181967
1.47032e-06,-64.3642244
1.47036e-06,-64.6478406
1.4704e-06,-64.4035441
1.47044e-06,-64.3493927
1.47048e-06,-64.4979041
1.47052e-06,-64.6974553
1.47056e-06,-64.3615117
1.4706e-06,-64.4745095
1.47064e-06,-64.1433114
1.47068e-06,-64.4094925
1.47072e-06,-64.3131444
1.47076e-06,-64.6786845
1.4708e-06,-64.5433399
1.47084e-06,-63.8859375
1.47088e-06,-64.2787535
1.47092e-06,-64.4803033
1.47096e-06,-64.3620712
1.471e-06,-64.2775086
1.47104e-06,-64.4928364
1.47108e-06,-64.5057045
1.47112e-06,-64.5919454
1.47116e-06,-64.7034627
1.4712e-06,-64.5185473
1.47124e-06,-63.7077839
1.47128e-06,-64.0576319
1.47132e-06,-63.8879069
1.47136e-06,-64.8642605
1.4714e-06,-64.3390828
1.47144e-06,-64.2793344
1.47148e-06,-64.0311565
1.47152e-06,-64.2782023
1.47156e-06,-64.3122392
1.4716e-06,-64.3668132
1.47164e-06,-64.4120522
1.47168e-06,-64.1976465
1.47172e-06,-63.7237283
1.47176e-06,-63.9898772
1.4718e-06,-63.9391272
1.47184e-06,-63.9454943
1.47188e-06,-64.0709903
1.47192e-06,-64.0102141
1.47196e-06,-64.4227054
1.472e-06,-64.8161722
1.47204e-06,-64.2858972
1.47208e-06,-64.1003225
1.47212e-06,-63.9509588
1.47216e-06,-64.7676851
1.4722e-06,-64.9192829
1.47224e-06,-64.6748067
1.47228e-06,-64.5728304
1.47232e-06,-64.464726
1.47236e-06,-64.4607443
1.4724e-06,-64.4366511
1.47244e-06,-64.1780242
1.47248e-06,-64.5248814
1.47252e-06,-64.5634856
1.47256e-06,-64.5733335
1.4726e-06,-64.4220609
1.47264e-06,-64.1287645
1.47268e-06,-63.7108177
1.47272e-06,-64.2173575
1.47276e-06,-64.15027
1.4728e-06,-64.7165106
1.47284e-06,-64.0568777
1.47288e-06,-64.1609639
1.47292e-06,-64.1120593
1.47296e-06,-63.8169895
1.473e-06,-64.3300585
1.47304e-06,-64.0122066
1.47308e-06,-63.7764012
1.47312e-06,-63.8600547
1.47316e-06,-64.0247653
1.4732e-06,-64.0651012
1.47324e-06,-64.0934843
1.47328e-06,-63.8184394
1.47332e-06,-64.182557
1.47336e-06,-64.3433112
1.4734e-06,-64.9876195
1.47344e-06,-64.4049381
1.47348e-06,-64.1787799
1.47352e-06,-64.4097382
1.47356e-06,-64.4385434
1.4736e-06,-64.4712625
1.47364e-06,-64.6838292
1.47368e-06,-64.593461
1.47372e-06,-64.5729315
1.47376e-06,-64.8851402
1.4738e-06,-64.9721323
1.47384e-06,-64.3588492
1.47388e-06,-64.6615205
1.47392e-06,-64.2343029
1.47396e-06,-64.3499397
1.474e-06,-64.377385
1.47404e-06,-64.0714665
1.47408e-06,-63.71426
1.47412e-06,-64.3881252
1.47416e-06,-64.3169682
1.4742e-06,-64.2259784
1.47424e-06,-64.1528339
1.47428e-06,-63.9778366
1.47432e-06,-64.2127694
1.47436e-06,-64.2160275
1.4744e-06,-64.3527245
1.47444e-06,-64.2045278
1.47448e-06,-63.9357308
1.47452e-06,-64.2328843
1.47456e-06,-64.3768984
1.4746e-06,-64.6421852
1.47464e-06,-64.2874348
1.47468e-06,-64.3924948
1.47472e-06,-64.2436743
1.47476e-06,-64.5202828
