Wavelength [m],Power [dBm]
1.47e-06,-63.2697609
1.47004e-06,-63.4570053
1.47008e-06,-63.2071711
1.47012e-06,-63.5910791
1.47016e-06,-63.3166968
1.4702e-06,-63.3064051
1.47024e-06,-63.3421647
1.47028e-06,-63.3894566
1.47032e-06,-63.4613711
1.47036e-06,-63.3631982
1.4704e-06,-63.0581967
1.47044e-06,-63.1477622
1.47048e-06,-63.7870997
1.47052e-06,-63.6806645
1.47056e-06,-63.5615955
1.4706e-06,-63.4774068
1.47064e-06,-63.2700884
1.47068e-06,-63.6992953
1.47072e-06,-63.6272172
1.47076e-06,-63.6453282
1.4708e-06,-63.5468981
1.47084e-06,-63.4741562
1.47088e-06,-63.8646618
1.47092e-06,-63.6662605
1.47096e-06,-63.4791994
1.471e-06,-63.3437399
1.47104e-06,-63.4849155
1.47108e-06,-64.284346
1.47112e-06,-63.9250028
1.47116e-06,-63.7291781
1.4712e-06,-63.1041866
1.47124e-06,-63.2196094
1.47128e-06,-63.6255156
1.47132e-06,-63.3845894
1.47136e-06,-63.153992
1.4714e-06,-62.9752533
1.47144e-06,-63.1401252
1.47148e-06,-63.4908266
1.47152e-06,-63.1409072
1.47156e-06,-63.2447912
1.4716e-06,-63.3475675
1.47164e-06,-63.1946417
1.47168e-06,-63.4491045
1.47172e-06,-62.9615623
1.47176e-06,-63.0180649
1.4718e-06,-62.9256971
1.47184e-06,-62.8010264
1.47188e-06,-63.4543151
1.47192e-06,-63.0884152
1.47196e-06,-63.2379119
1.472e-06,-63.2839635
1.47204e-06,-63.407612
1.47208e-06,-63.3440014
1.47212e-06,-63.2317883
1.47216e-06,-63.5042384
1.4722e-06,-63.4676437
1.47224e-06,-63.626948
1.47228e-06,-63.9631184
1.47232e-06,-63.7717534
1.47236e-06,-63.4702928
1.4724e-06,-63.355907
1.47244e-06,-63.4839723
1.47248e-06,-64.0495216
1.47252e-06,-63.9109199
1.47256e-06,-63.6759361
1.4726e-06,-63.3842844
1.47264e-06,-63.3707069
1.47268e-06,-63.3342224
1.47272e-06,-63.5510834
1.47276e-06,-63.6301987
1.4728e-06,-63.4774696
1.47284e-06,-63.8344592
1.47288e-06,-63.8252812
1.47292e-06,-63.5656425
1.47296e-06,-63.3200926
1.473e-06,-63.461543
1.47304e-06,-63.406075
1.47308e-06,-63.8268955
1.47312e-06,-63.4246124
1.47316e-06,-63.4916541
1.4732e-06,-63.174126
1.47324e-06,-63.7135353
1.47328e-06,-64.0157342
1.47332e-06,-63.744118
1.47336e-06,-63.6315855
1.4734e-06,-63.8543117
1.47344e-06,-63.9434001
1.47348e-06,-64.1462034
1.47352e-06,-64.0048657
1.47356e-06,-63.5662828
1.4736e-06,-63.3220011
1.47364e-06,-63.8663017
1.47368e-06,-64.2088365
1.47372e-06,-64.1198143
1.47376e-06,-63.9216715
1.4738e-06,-63.8180611
1.47384e-06,-64.0615425
1.47388e-06,-63.9081161
1.47392e-06,-63.6681388
1.47396e-06,-63.7340805
1.474e-06,-63.6099246
1.47404e-06,-63.7574929
1.47408e-06,-63.8247491
1.47412e-06,-64.0115264
1.47416e-06,-63.5274315
1.4742e-06,-63.4725044
1.47424e-06,-63.675888
1.47428e-06,-63.8981715
1.47432e-06,-63.7317816
1.47436e-06,-63.6062281
1.4744e-06,-63.1015992
1.47444e-06,-63.7995374
1.47448e-06,-64.0644448
1.47452e-06,-64.0923279
1.47456e-06,-63.9110022
1.4746e-06,-63.8192683
1.47464e-06,-64.1300089
1.47468e-06,-64.2020254
1.47472e-06,-64.2604244
1.47476e-06,-63.9230033
1.4748e-06,-63.539088
1.47484e-06,-63.7357507
1.47488e-06,-63.6018544
1.47492e-06,-64.0659703
1.47496e-06,-63.8887784
1.475e-06,-63.5235222
1.47504e-06,-63.9676103
1.47508e-06,-64.0920299
1.47512e-06,-64.1616505
1.47516e-06,-63.8417807
1.4752e-06,-63.6479334
1.47524e-06,-63.8428516
1.47528e-06,-63.684296
1.47532e-06,-64.0853234
1.47536e-06,-63.7652568
1.4754e-06,-63.7838881
1.47544e-06,-63.9839672
1.47548e-06,-63.8395182
1.47552e-06,-64.0095845
1.47556e-06,-63.6441835
1.4756e-06,-63.3710731
1.47564e-06,-63.5685987
1.47568e-06,-63.7130471
1.47572e-06,-64.1114579
1.47576e-06,-64.0601547
1.4758e-06,-63.938392
1.47584e-06,-63.897615
1.47588e-06,-63.6881422
1.47592e-06,-64.2332095
1.47596e-06,-63.5175788
1.476e-06,-63.9970827
1.47604e-06,-63.9653903
1.47608e-06,-63.692626
1.47612e-06,-64.276571
1.47616e-06,-63.5783978
1.4762e-06,-63.4743869
1.47624e-06,-63.5901332
1.47628e-06,-63.6800236
1.47632e-06,-64.3302374
1.47636e-06,-63.8143061
1.4764e-06,-63.6193266
1.47644e-06,-63.4081942
1.47648e-06,-63.6846181
1.47652e-06,-64.0098384
1.47656e-06,-63.9764398
1.4766e-06,-63.5414159
1.47664e-06,-63.2773159
1.47668e-06,-63.5196552
1.47672e-06,-63.4476383
1.47676e-06,-63.3787315
1.4768e-06,-63.3443966
1.47684e-06,-63.0389454
1.47688e-06,-63.1512245
1.47692e-06,-63.6963987
1.47696e-06,-63.8313345
1.477e-06,-63.9528406
1.47704e-06,-63.6042689
1.47708e-06,-63.8485098
1.47712e-06,-63.979182
1.47716e-06,-64.1494169
1.4772e-06,-63.6294165
1.47724e-06,-63.4483481
1.47728e-06,-63.4773276
1.47732e-06,-63.4906245
1.47736e-06,-63.7131665
1.4774e-06,-63.7931159
1.47744e-06,-63.6094792
1.47748e-06,-63.7753335
1.47752e-06,-63.7366769
1.47756e-06,-63.9369628
1.4776e-06,-63.8138408
1.47764e-06,-63.9644896
1.47768e-06,-63.8454706
1.47772e-06,-64.0628384
1.47776e-06,-64.2421771
1.4778e-06,-64.0795001
1.47784e-06,-63.8231823
1.47788e-06,-63.8802802
1.47792e-06,-63.4814626
1.47796e-06,-63.886221
1.478e-06,-63.2537564
1.47804e-06,-63.4684339
1.47808e-06,-63.6446413
1.47812e-06,-63.7076658
1.47816e-06,-64.0954267
1.4782e-06,-63.7510019
1.47824e-06,-63.7649084
1.47828e-06,-63.7479688
1.47832e-06,-63.853749
1.47836e-06,-64.7819219
1.4784e-06,-63.9087191
1.47844e-06,-64.1123987
1.47848e-06,-64.0380821
1.47852e-06,-64.0914672
1.47856e-06,-64.3895908
1.4786e-06,-63.8992976
1.47864e-06,-64.1424372
1.47868e-06,-64.2605465
1.47872e-06,-64.1829912
1.47876e-06,-64.2302834
1.4788e-06,-63.8627684
1.47884e-06,-63.8040528
1.47888e-06,-63.3934198
1.47892e-06,-64.081769
1.47896e-06,-64.1191584
1.479e-06,-63.8293277
1.47904e-06,-64.2915334
1.47908e-06,-63.2514519
1.47912e-06,-63.7522409
1.47916e-06,-63.9595687
1.4792e-06,-63.9623968
1.47924e-06,-64.0030302
1.47928e-06,-63.6641927
1.47932e-06,-63.9291006
1.47936e-06,-63.8266757
1.4794e-06,-64.1408322
1.47944e-06,-63.9393421
1.47948e-06,-63.7225411
1.47952e-06,-64.0720268
1.47956e-06,-63.999961
1.4796e-06,-64.353714
1.47964e-06,-63.8640116
1.47968e-06,-63.7657361
1.47972e-06,-63.9418698
1.47976e-06,-64.0488806
1.4798e-06,-64.5485903
1.47984e-06,-63.9051712
1.47988e-06,-64.1821083
1.47992e-06,-63.913468
1.47996e-06,-64.3922457
1.48e-06,-64.3624209
1.48004e-06,-64.1493176
1.48008e-06,-64.0367464
1.48012e-06,-63.9687722
1.48016e-06,-63.7697223
1.4802e-06,-64.2073551
1.48024e-06,-64.0402749
1.48028e-06,-63.6860185
1.48032e-06,-63.5929575
1.48036e-06,-64.0215151
1.4804e-06,-63.9762445
1.48044e-06,-63.9255052
1.48048e-06,-63.9033705
1.48052e-06,-63.5473916
1.48056e-06,-64.0582904
1.4806e-06,-64.2910951
1.48064e-06,-64.374416
1.48068e-06,-64.2136632
1.48072e-06,-64.2786944
1.48076e-06,-64.196599
1.4808e-06,-64.2967708
1.48084e-06,-64.4591715
1.48088e-06,-64.1646924
1.48092e-06,-64.0009703
1.48096e-06,-64.1308904
1.481e-06,-64.1376804
1.48104e-06,-64.2242415
1.48108e-06,-64.0381208
1.48112e-06,-64.327426
1.48116e-06,-64.3259841
1.4812e-06,-64.1337781
1.48124e-06,-64.2643859
1.48128e-06,-64.0050384
1.48132e-06,-63.7369203
1.48136e-06,-63.7343388
1.4814e-06,-63.6912859
1.48144e-06,-64.209465
1.48148e-06,-63.5925064
1.48152e-06,-63.4642239
1.48156e-06,-63.8605336
1.4816e-06,-63.9471153
1.48164e-06,-63.9833421
1.48168e-06,-63.985242
1.48172e-06,-63.9335252
1.48176e-06,-63.8007606
1.4818e-06,-64.0039703
1.48184e-06,-64.1525664
1.48188e-06,-63.8998079
1.48192e-06,-64.1771586
1.48196e-06,-64.1431756
1.482e-06,-64.455871
1.48204e-06,-64.1652918
1.48208e-06,-64.6736534
1.48212e-06,-64.1042948
1.48216e-06,-64.0877435
1.4822e-06,-64.0999863
1.48224e-06,-64.3863651
1.48228e-06,-64.0273357
1.48232e-06,-63.9089092
1.48236e-06,-64.0823584
1.4824e-06,-64.2616119
1.48244e-06,-64.3716207
1.48248e-06,-64.0489008
1.48252e-06,-63.8616678
1.48256e-06,-64.0568606
1.4826e-06,-64.2523771
1.48264e-06,-64.6887866
1.48268e-06,-64.5337546
1.48272e-06,-63.9588528
1.48276e-06,-64.015148
1.4828e-06,-64.0525534
1.48284e-06,-64.1401638
1.48288e-06,-64.1087789
1.48292e-06,-63.5192301
1.48296e-06,-64.1499834
1.483e-06,-64.3230359
1.48304e-06,-64.3706982
1.48308e-06,-64.1164374
1.48312e-06,-63.9415676
1.48316e-06,-64.1592448
1.4832e-06,-63.840182
1.48324e-06,-64.2610017
1.48328e-06,-64.0535363
1.48332e-06,-63.8021735
1.48336e-06,-63.9592355
1.4834e-06,-63.683191
1.48344e-06,-64.3498231
1.48348e-06,-64.1109163
1.48352e-06,-63.7551852
1.48356e-06,-63.7354861
1.4836e-06,-64.1052635
1.48364e-06,-64.1358722
1.48368e-06,-64.332339
1.48372e-06,-63.6130201
1.48376e-06,-64.0044017
1.4838e-06,-63.9319792
1.48384e-06,-64.4495204
1.48388e-06,-64.3483067
1.48392e-06,-63.6643755
1.48396e-06,-63.6901159
1.484e-06,-64.0496413
1.48404e-06,-64.2951172
1.48408e-06,-64.2473454
1.48412e-06,-63.8128
1.48416e-06,-64.0965595
1.4842e-06,-64.2593298
1.48424e-06,-64.0356966
1.48428e-06,-64.3418948
1.48432e-06,-63.9943889
1.48436e-06,-64.006346
1.4844e-06,-64.1550818
1.48444e-06,-64.2375137
1.48448e-06,-64.0631015
1.48452e-06,-63.8397649
1.48456e-06,-63.8496664
1.4846e-06,-64.0587366
1.48464e-06,-63.993521
1.48468e-06,-63.7968695
1.48472e-06,-64.0147385
1.48476e-06,-63.9407456
1.4848e-06,-63.957379
1.48484e-06,-64.1406017
1.48488e-06,-63.8397024
1.48492e-06,-63.7641711
1.48496e-06,-63.9136933
1.485e-06,-64.3632141
1.48504e-06,-64.0789561
1.48508e-06,-63.9029544
1.48512e-06,-63.8120268
1.48516e-06,-63.6893235
1.4852e-06,-63.7359015
1.48524e-06,-63.7041691
1.48528e-06,-63.5812026
1.48532e-06,-63.703833
1.48536e-06,-63.702173
1.4854e-06,-63.9068013
1.48544e-06,-63.696364
1.48548e-06,-63.6640822
1.48552e-06,-63.6913112
1.48556e-06,-63.921507
1.4856e-06,-64.2622034
1.48564e-06,-64.3149179
1.48568e-06,-64.2550381
1.48572e-06,-63.9632069
1.48576e-06,-64.1589135
1.4858e-06,-64.2177191
1.48584e-06,-63.9593233
1.48588e-06,-63.8428485
1.48592e-06,-63.9960205
1.48596e-06,-63.7512163
1.486e-06,-64.03076
1.48604e-06,-63.751866
1.48608e-06,-64.1705718
1.48612e-06,-64.0837252
1.48616e-06,-64.1525787
1.4862e-06,-64.0847227
1.48624e-06,-63.6293821
1.48628e-06,-63.8694697
1.48632e-06,-63.8274732
1.48636e-06,-63.8763826
1.4864e-06,-63.6090144
1.48644e-06,-63.7978405
1.48648e-06,-64.011328
1.48652e-06,-63.7080465
1.48656e-06,-64.1358976
1.4866e-06,-64.0036202
1.48664e-06,-63.9821143
1.48668e-06,-64.0386853
1.48672e-06,-63.6367845
1.48676e-06,-64.092235
1.4868e-06,-64.1350459
1.48684e-06,-63.6525622
1.48688e-06,-63.8732992
1.48692e-06,-63.9245279
1.48696e-06,-63.9044889
1.487e-06,-63.9215585
1.48704e-06,-64.0552079
1.48708e-06,-64.0994425
1.48712e-06,-64.1872129
1.48716e-06,-64.2014317
1.4872e-06,-63.6532386
1.48724e-06,-64.4208604
1.48728e-06,-63.8410284
1.48732e-06,-64.477086
1.48736e-06,-63.7474932
1.4874e-06,-63.9928217
1.48744e-06,-64.1653221
1.48748e-06,-63.9148193
1.48752e-06,-64.3175539
1.48756e-06,-63.9029553
1.4876e-06,-63.8704789
1.48764e-06,-64.1909337
1.48768e-06,-63.7375213
1.48772e-06,-64.0163048
1.48776e-06,-63.7650925
1.4878e-06,-63.7810277
1.48784e-06,-64.0508229
1.48788e-06,-63.9870042
1.48792e-06,-63.9372314
1.48796e-06,-64.1036972
1.488e-06,-63.7862177
1.48804e-06,-63.7800286
1.48808e-06,-63.8013851
1.48812e-06,-63.8716143
1.48816e-06,-64.0325127
1.4882e-06,-63.9231237
1.48824e-06,-64.2053209
1.48828e-06,-63.9571581
1.48832e-06,-64.2193398
1.48836e-06,-63.8258941
1.4884e-06,-64.2049927
1.48844e-06,-63.9914655
1.48848e-06,-64.0921643
1.48852e-06,-64.2125665
1.48856e-06,-64.1059742
1.4886e-06,-63.9612815
1.48864e-06,-62.8158851
1.48868e-06,-55.0756652
1.48872e-06,-53.0870366
1.48876e-06,-53.1471388
1.4888e-06,-54.7740874
1.48884e-06,-62.3820247
1.48888e-06,-63.774347
1.48892e-06,-64.0684021
1.48896e-06,-64.0799343
1.489e-06,-64.199987
1.48904e-06,-63.9121892
1.48908e-06,-63.9062985
1.48912e-06,-63.7449184
1.48916e-06,-63.7937548
1.4892e-06,-64.3397751
1.48924e-06,-63.9703475
1.48928e-06,-64.1457452
1.48932e-06,-63.5805698
1.48936e-06,-63.5606012
1.4894e-06,-64.193319
1.48944e-06,-63.8748854
1.48948e-06,-64.0664776
1.48952e-06,-63.5476066
1.48956e-06,-63.6292572
1.4896e-06,-64.0698246
1.48964e-06,-64.0024835
1.48968e-06,-63.9017303
1.48972e-06,-63.8317313
1.48976e-06,-63.9708
1.4898e-06,-64.062928
1.48984e-06,-63.5724306
1.48988e-06,-64.2986327
1.48992e-06,-63.7038856
1.48996e-06,-63.5987066
1.49e-06,-63.6512938
1.49004e-06,-63.6685998
1.49008e-06,-63.9957365
1.49012e-06,-63.6684394
1.49016e-06,-64.0260188
1.4902e-06,-63.802764
1.49024e-06,-63.7580049
1.49028e-06,-63.9926505
1.49032e-06,-63.7186731
1.49036e-06,-64.0401753
1.4904e-06,-63.6578553
1.49044e-06,-63.5501348
1.49048e-06,-64.000956
1.49052e-06,-63.7570297
1.49056e-06,-63.4326148
1.4906e-06,-63.4803663
1.49064e-06,-63.6106524
1.49068e-06,-63.4112607
1.49072e-06,-63.4913338
1.49076e-06,-63.6351369
1.4908e-06,-63.5291451
1.49084e-06,-63.6216781
1.49088e-06,-63.7170044
1.49092e-06,-63.4454858
1.49096e-06,-64.005776
1.491e-06,-63.0901489
1.49104e-06,-63.545496
1.49108e-06,-63.4543198
1.49112e-06,-63.4290353
1.49116e-06,-63.6099024
1.4912e-06,-63.1801187
1.49124e-06,-63.4800573
1.49128e-06,-63.4509566
1.49132e-06,-63.1407732
1.49136e-06,-63.5354351
1.4914e-06,-63.184897
1.49144e-06,-63.4390881
1.49148e-06,-63.4443947
1.49152e-06,-63.0965885
1.49156e-06,-63.5767741
1.4916e-06,-63.4542824
1.49164e-06,-63.586073
1.49168e-06,-62.9417706
1.49172e-06,-62.9067021
1.49176e-06,-63.2520468
1.4918e-06,-63.3581243
1.49184e-06,-63.0552757
1.49188e-06,-63.2125271
1.49192e-06,-62.9459225
1.49196e-06,-63.0265889
1.492e-06,-62.9228383
1.49204e-06,-63.39634
1.49208e-06,-62.9217997
1.49212e-06,-63.2098602
1.49216e-06,-63.3030084
1.4922e-06,-63.3699215
1.49224e-06,-63.4187426
1.49228e-06,-63.2033122
1.49232e-06,-62.8225546
1.49236e-06,-63.3770696
1.4924e-06,-63.4760084
1.49244e-06,-63.2212788
1.49248e-06,-63.1326437
1.49252e-06,-62.9042102
1.49256e-06,-63.0804398
1.4926e-06,-62.9262566
1.49264e-06,-62.9757879
