1052590	996393	21.50214286
1061087	1010360	29.00214286
1045410	1001189	34.10214286
1046657	1004804	37.10214286
1041999	997800	37.20214286
1036877	1003398	34.80214286
1043616	1001792	29.40214286
1044222	1000466	22.40214286
1046762	1003542	14.20214286
1048288	1000741	8.102142857
1059133	1007853	3.942142857
1067607	1014127	0.982142857
1066989	1010762	0.232142857
1078150	1015604	1.342142857
1069178	1013145	4.102142857
1067839	1012693	7.202142857
1074046	1014782	10.90214286
1057363	1004262	14.60214286
1055548	1000452	18.70214286
1057150	1113131	22.70214286
1055353	1014126	25.00214286
1058999	1014090	29.00214286
1044084	1007483	30.00214286
1056878	1016352	32.60214286
1051392	1008919	34.40214286
1041396	1000442	35.20214286
1047920	1011057	36.80214286
1057267	1012193	37.30214286
1035730	1001829	38.30214286
1048813	10112643	38.60214286
1049526	1008923	37.80214286
1042275	1003274	38.10214286
1050247	1009314	38.10214286
