1054397	999653	35.92375
1047189	1010297	34.62375
1043530	1009643	31.32375
1039768	1001402	24.12375
1052791	1016124	17.62375
1044253	1009867	9.52375
1043076	1008498	3.32375
1045609	1012056	0.42375
1044220	1009096	0.23375
1053454	1012839	2.58375
1055819	1008821	6.82375
1056238	1005510	12.22375
1062457	1007845	18.22375
1060266	1009960	23.82375
1058822	1011099	28.52375
1061862	1005887	32.22375
1058580	1011756	34.72375
1058910	1013932	36.12375
1054072	1006737	36.92375
1044980	1013941	37.12375
1048709	1016085	36.52375
1046170	1008348	35.12375
1048984	1012722	33.82375
1048166	1010253	32.12375
1049238	1005635	31.02375
1054743	1018224	30.02375
1047731	1011936	27.82375
1040784	1009409	25.92375
1044319	1008897	24.12375
1053040	1013759	23.32375
1046347	1014356	22.32375
1040691	1011296	20.42375
1045487	1010487	19.52375
