1064606	1004087	18.32986632
1055570	1003277	24.42986632
1052776	1007687	30.59986632
1055294	1013032	35.00986632
1059744	1009418	37.04986632
1045366	1000441	36.09986632
1051626	1008599	32.11986632
1055140	1009674	25.62986632
1052149	1007398	18.92986632
1057687	1006965	12.32986632
1071199	1014922	6.12986632
1068473	1006964	4.22986632
1072410	1016194	0.42986632
1075652	1012904	0.82986632
1064278	1003336	2.92986632
1076752	1020780	4.72986632
1064933	1007373	8.32986632
1065843	1013332	11.32986632
1060244	1015600	14.12986632
1066588	1013827	18.32986632
1064525	1017196	20.82986632
1057442	1016682	22.82986632
1060894	1017804	26.12986632
1054368	1007536	28.72986632
1066754	1018080	30.22986632
1049199	1006717	31.62986632
1057517	1020947	33.00986632
1057683	1018369	33.98986632
1053211	1010413	35.14986632
1056621	1013821	35.73986632
1055453	1010326	36.14986632
1058008	1025587	36.46986632
1065491	1026494	36.63986632
