1055988	1009790	13.57
1049205	1006819	8.17
1062086	1009028	3.11
1068226	1014942	0.45
1073334	1018700	0.58
1064621	1007840	3.75
1066637	1010828	9.27
1056934	1006125	16.07
1058151	1017805	23.67
1046589	1013071	29.87
1051299	1009309	34.47
1042686	1008114	36.57
1047272	1012405	37.47
1045588	1002329	35.27
1042656	1007584	33.57
1048056	1011472	30.57
1043619	1013123	25.77
1050259	1020267	22.87
1042664	1006456	18.57
1050838	1006113	14.57
1051519	1007176	11.77
1050003	1003196	8.47
1047018	1004013	6.87
1053212	1000280	5.13
1051163	1002893	3.73
1057442	1004561	2.57
1055097	1009487	1.54
1057974	1007589	0.98
1065216	1008048	0.45
1064607	1013456	0.1
1064573	1011203	0.02
1063244	1009525	-0.03
1066208	1006947	0.01
